,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
49900,12339808,JE198875,04/14/2021 03:27:00 AM,055XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,225,2,20.0,40,08B,1178100.0,1868316.0,2021,04/21/2021 04:52:37 PM,41.793973589000004,-87.62244909,"(41.793973589, -87.62244909)"
49901,12340273,JE199325,04/14/2021 02:50:00 PM,045XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1113,11,28.0,26,08B,1146227.0,1901075.0,2021,04/21/2021 04:52:37 PM,41.884532588,-87.738494751,"(41.884532588, -87.738494751)"
49902,12341724,JE201125,04/14/2021 12:00:00 PM,042XX S PRINCETON AVE,0810,THEFT,OVER $500,APARTMENT,False,False,925,9,3.0,37,06,1175000.0,1876652.0,2021,04/21/2021 04:52:37 PM,41.81691816,-87.63356767299999,"(41.81691816, -87.633567673)"
49903,12344513,JE201982,04/04/2021 12:00:00 PM,002XX N WESTERN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1222,12,27.0,28,11,1160375.0,1901312.0,2021,04/21/2021 04:49:40 PM,41.884902078,-87.686534646,"(41.884902078, -87.686534646)"
49904,12344291,JE203620,04/09/2021 02:30:00 PM,008XX N PARKSIDE AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,1511,15,29.0,25,06,1138537.0,1905065.0,2021,04/21/2021 04:49:40 PM,41.895624452,-87.766637101,"(41.895624452, -87.766637101)"
49906,12340373,JE199598,04/14/2021 07:15:00 PM,057XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,False,False,2012,20,40.0,77,14,1164789.0,1938107.0,2021,04/21/2021 04:52:37 PM,41.985777144000004,-87.669279192,"(41.985777144, -87.669279192)"
49907,12343294,JE199203,04/14/2021 12:42:00 PM,003XX W 108TH PL,0560,ASSAULT,SIMPLE,STREET,False,False,513,5,34.0,49,08A,1175947.0,1832975.0,2021,04/21/2021 04:52:37 PM,41.697042099,-87.631401112,"(41.697042099, -87.631401112)"
49912,12344201,JE204167,04/12/2021 06:00:00 PM,016XX W WALLEN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2432,24,49.0,1,06,1163899.0,1944233.0,2021,04/21/2021 04:49:40 PM,42.002605949,-87.672378652,"(42.002605949, -87.672378652)"
49915,12340197,JE199387,04/14/2021 01:50:00 PM,073XX S MERRILL AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,333,3,5.0,43,06,1191823.0,1856785.0,2021,04/21/2021 04:52:37 PM,41.762009273000004,-87.572502518,"(41.762009273, -87.572502518)"
49916,12340584,JE199768,04/14/2021 11:50:00 PM,063XX W BELMONT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,False,True,1633,16,36.0,17,08B,1133673.0,1920602.0,2021,04/21/2021 04:52:37 PM,41.938346644,-87.784136345,"(41.938346644, -87.784136345)"
49917,12340422,JE199609,04/14/2021 07:20:00 PM,037XX W GRAND AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,SIDEWALK,False,True,2535,25,27.0,23,04B,1151097.0,1908124.0,2021,04/21/2021 04:52:37 PM,41.903781736999996,-87.720426401,"(41.903781737, -87.720426401)"
49920,12339848,JE198889,04/14/2021 05:00:00 AM,033XX W HURON ST,0560,ASSAULT,SIMPLE,APARTMENT,True,True,1121,11,27.0,23,08A,1154120.0,1904470.0,2021,04/21/2021 04:52:37 PM,41.893695013,-87.709419751,"(41.893695013, -87.709419751)"
49921,12340035,JE199056,04/14/2021 02:00:00 AM,067XX S ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,725,7,16.0,67,14,1166833.0,1860055.0,2021,04/21/2021 04:52:37 PM,41.771552614,-87.66400029,"(41.771552614, -87.66400029)"
49922,12342371,JE199046,04/14/2021 10:04:00 AM,011XX W 62ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,712,7,16.0,68,08B,1169860.0,1863686.0,2021,04/21/2021 04:52:37 PM,41.781451339,-87.652798997,"(41.781451339, -87.652798997)"
49923,12339784,JE198874,04/14/2021 03:10:00 AM,051XX W BELDEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2522,25,36.0,19,08B,1141892.0,1914811.0,2021,04/21/2021 04:52:37 PM,41.922307093,-87.754073053,"(41.922307093, -87.754073053)"
49924,12344871,JE204915,03/30/2021 03:00:00 PM,072XX N WESTERN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2411,24,50.0,2,14,1159015.0,1948030.0,2021,04/21/2021 04:52:37 PM,42.013127089,-87.690241555,"(42.013127089, -87.690241555)"
49925,12341946,JE200803,04/14/2021 11:00:00 PM,018XX W 21ST ST,0810,THEFT,OVER $500,STREET,False,False,1234,12,25.0,31,06,1164527.0,1890107.0,2021,04/21/2021 04:52:37 PM,41.854067692,-87.671605065,"(41.854067692, -87.671605065)"
49926,12339986,JE199086,04/14/2021 10:50:00 AM,025XX S WASHTENAW AVE,0460,BATTERY,SIMPLE,APARTMENT,False,False,1034,10,24.0,30,08B,1158775.0,1886864.0,2021,04/21/2021 04:52:37 PM,41.845288247,-87.692805959,"(41.845288247, -87.692805959)"
49927,12344142,JE204171,03/29/2021 12:00:00 AM,046XX S PAULINA ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,924,9,15.0,61,11,1165790.0,1873896.0,2021,04/21/2021 04:49:40 PM,41.809556234,-87.66743060600001,"(41.809556234, -87.667430606)"
49928,12340721,JE199315,04/14/2021 02:30:00 PM,015XX W JONQUIL TER,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2422,24,49.0,1,08B,1164792.0,1950994.0,2021,04/21/2021 04:52:37 PM,42.02113929,-87.668900331,"(42.02113929, -87.668900331)"
49929,12344641,JE204591,01/13/2021 09:00:00 AM,037XX W BRYN MAWR AVE,0820,THEFT,$500 AND UNDER,SCHOOL - PUBLIC BUILDING,False,False,1711,17,39.0,13,06,1150426.0,1936949.0,2021,04/21/2021 04:49:40 PM,41.982892951,-87.72213619,"(41.982892951, -87.72213619)"
49930,12340261,JE199467,04/14/2021 12:37:00 PM,036XX E 106TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,False,False,432,4,10.0,52,11,1202269.0,1835278.0,2021,04/21/2021 04:52:37 PM,41.702732658,-87.534948789,"(41.702732658, -87.534948789)"
49935,12340360,JE199578,04/14/2021 06:40:00 PM,0000X N PINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1522,15,29.0,25,08B,1139502.0,1899801.0,2021,04/21/2021 04:52:37 PM,41.881161829,-87.76322127600001,"(41.881161829, -87.763221276)"
49936,12341072,JE200480,04/14/2021 01:49:00 PM,047XX S DR MARTIN LUTHER KING JR DR,0810,THEFT,OVER $500,APARTMENT,False,False,224,2,3.0,38,06,1179658.0,1873725.0,2021,04/21/2021 04:52:37 PM,41.808780868,-87.616570645,"(41.808780868, -87.616570645)"
49938,12344581,JE204533,04/07/2021 12:00:00 AM,009XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1212,12,2.0,24,06,1162895.0,1906432.0,2021,04/21/2021 04:49:40 PM,41.898899274,-87.677137032,"(41.898899274, -87.677137032)"
49939,12340367,JE199547,04/14/2021 05:44:00 PM,004XX W 61ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,711,7,20.0,68,08B,1174442.0,1864482.0,2021,04/21/2021 04:52:37 PM,41.783534911,-87.63597672799999,"(41.783534911, -87.635976728)"
49941,12340341,JE199507,04/14/2021 05:15:00 PM,035XX N KIMBALL AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1732,17,35.0,21,06,1153099.0,1923246.0,2021,04/21/2021 04:52:37 PM,41.945238279,-87.712670479,"(41.945238279, -87.712670479)"
49944,12340558,JE199681,04/14/2021 06:30:00 PM,013XX W RANDOLPH ST,0810,THEFT,OVER $500,STREET,False,False,1224,12,27.0,28,06,1167287.0,1901143.0,2021,04/21/2021 04:52:37 PM,41.884292566999996,-87.66115764,"(41.884292567, -87.66115764)"
49946,12340058,JE199128,04/14/2021 10:30:00 AM,012XX E 71ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),False,False,324,3,5.0,69,14,1185776.0,1858186.0,2021,04/21/2021 04:52:37 PM,41.765998376,-87.594621081,"(41.765998376, -87.594621081)"
49947,12341790,JE201085,04/14/2021 08:00:00 PM,060XX S HARPER AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,314,3,5.0,42,06,1187484.0,1865036.0,2021,04/21/2021 04:52:37 PM,41.784754925,-87.588143196,"(41.784754925, -87.588143196)"
49948,12340477,JE199362,04/14/2021 06:10:00 AM,009XX W HURON ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1214,12,27.0,24,06,1169809.0,1905073.0,2021,04/21/2021 04:52:37 PM,41.895022169,-87.65178197899999,"(41.895022169, -87.651781979)"
49951,12340045,JE198979,04/14/2021 08:20:00 AM,063XX S NORMAL BLVD,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,722,7,20.0,68,06,1174040.0,1862760.0,2021,04/21/2021 04:52:37 PM,41.77881849,-87.637501682,"(41.77881849, -87.637501682)"
49952,12344105,JE204051,03/24/2021 01:00:00 PM,062XX S KENNETH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,813,8,23.0,65,11,1147779.0,1862826.0,2021,04/21/2021 04:49:40 PM,41.779542388,-87.73377584299999,"(41.779542388, -87.733775843)"
49955,12340761,JE199936,04/14/2021 02:20:00 PM,068XX S ST LAWRENCE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,321,3,20.0,42,11,1181418.0,1859783.0,2021,04/21/2021 04:52:37 PM,41.770482301,-87.610545306,"(41.770482301, -87.610545306)"
49959,12340106,JE199028,04/14/2021 09:40:00 AM,085XX S BURLEY AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,424,4,10.0,46,08A,1199293.0,1849013.0,2021,04/21/2021 04:52:37 PM,41.740497814,-87.545385562,"(41.740497814, -87.545385562)"
49961,12340682,JE199828,04/14/2021 06:00:00 PM,025XX W IRVING PARK RD,0810,THEFT,OVER $500,STREET,False,False,1911,19,47.0,5,06,1158865.0,1926482.0,2021,04/21/2021 04:52:37 PM,41.954001530999996,-87.691387729,"(41.954001531, -87.691387729)"
49964,12344434,JE203899,04/13/2021 12:00:00 AM,005XX W 95TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2223,22,21.0,73,11,1174476.0,1841895.0,2021,04/21/2021 04:49:40 PM,41.721552638,-87.63652276299999,"(41.721552638, -87.636522763)"
49965,12342298,JE199188,04/14/2021 12:28:00 PM,114XX S MICHIGAN AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,False,False,531,5,9.0,49,08A,1178868.0,1828958.0,2021,04/21/2021 04:52:37 PM,41.685953051,-87.62082780600001,"(41.685953051, -87.620827806)"
49967,12341034,JE200355,04/14/2021 11:00:00 AM,0000X W 95TH ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,False,False,634,6,21.0,49,06,1177762.0,1841949.0,2021,04/21/2021 04:52:37 PM,41.721627204,-87.62448517700001,"(41.721627204, -87.624485177)"
49968,12341313,JE199709,04/14/2021 09:45:00 PM,116XX S HALSTED ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,524,5,34.0,53,04B,1173087.0,1827362.0,2021,04/21/2021 04:52:37 PM,41.681702629,-87.642037691,"(41.681702629, -87.642037691)"
49969,12343933,JE203806,04/08/2021 12:00:00 AM,006XX W 123RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,523,5,34.0,53,11,1174064.0,1823313.0,2021,04/21/2021 04:49:40 PM,41.670569952,-87.63858084200001,"(41.670569952, -87.638580842)"
49971,12344631,JE204582,04/04/2021 09:00:00 AM,061XX N WINTHROP AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,2433,24,48.0,77,11,1167745.0,1940988.0,2021,04/21/2021 04:49:40 PM,41.993619268,-87.65832371100001,"(41.993619268, -87.658323711)"
49972,12340797,JE199208,04/14/2021 11:00:00 AM,056XX S PRINCETON AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,711,7,3.0,68,06,1175248.0,1867553.0,2021,04/21/2021 04:52:37 PM,41.79194408,-87.632929944,"(41.79194408, -87.632929944)"
49973,12344345,JE204292,03/20/2021 12:00:00 PM,079XX S FRANCISCO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,835,8,18.0,70,11,1158422.0,1851911.0,2021,04/21/2021 04:49:40 PM,41.749379727,-87.69505388600001,"(41.749379727, -87.695053886)"
49975,12340437,JE199400,04/14/2021 04:01:00 PM,084XX S EXCHANGE AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,False,423,4,10.0,46,04A,1197282.0,1849656.0,2021,04/21/2021 04:52:37 PM,41.742312547,-87.552732116,"(41.742312547, -87.552732116)"
49976,12340083,JE199225,04/14/2021 12:00:00 PM,002XX E GRAND AVE,0870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,False,False,1834,18,42.0,8,06,1178222.0,1903964.0,2021,04/21/2021 04:52:37 PM,41.891791478,-87.620917415,"(41.891791478, -87.620917415)"
49977,12340025,JE199052,04/14/2021 08:00:00 AM,043XX S WOLCOTT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,924,9,15.0,61,08B,1164411.0,1875951.0,2021,04/21/2021 04:52:37 PM,41.81522460000001,-87.67243059200001,"(41.8152246, -87.672430592)"
49978,12340494,JE199642,04/14/2021 08:00:00 PM,109XX S EGGLESTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,False,False,2233,22,34.0,49,14,1175234.0,1832324.0,2021,04/21/2021 04:52:37 PM,41.695271574,-87.63403105200001,"(41.695271574, -87.634031052)"
49979,12340509,JE199707,04/14/2021 09:55:00 PM,047XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,933,9,20.0,61,08B,1167135.0,1873276.0,2021,04/21/2021 04:52:37 PM,41.807826180999996,-87.66251511700001,"(41.807826181, -87.662515117)"
49980,12340293,JE199550,04/14/2021 06:12:00 PM,006XX N STATE ST,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,1832,18,42.0,8,06,1176262.0,1904268.0,2021,04/21/2021 04:52:37 PM,41.8926701,-87.62810635299999,"(41.8926701, -87.628106353)"
49982,12340127,JE199267,04/14/2021 01:30:00 PM,051XX W CHICAGO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1531,15,37.0,25,14,1142024.0,1904845.0,2021,04/21/2021 04:52:37 PM,41.89495683,-87.753835431,"(41.89495683, -87.753835431)"
49983,12340841,JE200193,04/14/2021 04:00:00 PM,057XX W LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1622,16,45.0,15,11,1137241.0,1931337.0,2021,04/21/2021 04:52:37 PM,41.967741067,-87.77076395200001,"(41.967741067, -87.770763952)"
49984,12344987,JE205090,04/05/2021 12:00:00 PM,048XX S KEATING AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,815,8,14.0,56,11,1145510.0,1872089.0,2021,04/21/2021 04:52:37 PM,41.805004668,-87.741860761,"(41.805004668, -87.741860761)"
49986,12342757,JE199638,04/14/2021 09:00:00 AM,003XX E OHIO ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1834,18,42.0,8,11,1178915.0,1904276.0,2021,04/21/2021 04:52:37 PM,41.892631803,-87.618362824,"(41.892631803, -87.618362824)"
49987,12340564,JE199801,04/14/2021 07:00:00 AM,013XX E 71ST PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,324,3,8.0,43,08B,1186307.0,1857862.0,2021,04/21/2021 04:52:37 PM,41.76509676,-87.592685034,"(41.76509676, -87.592685034)"
49988,12344949,JE205023,04/12/2021 12:00:00 AM,070XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,733,7,6.0,68,14,1171189.0,1858198.0,2021,04/21/2021 04:52:37 PM,41.766362642,-87.64808690299999,"(41.766362642, -87.648086903)"
49989,12340465,JE199584,04/14/2021 06:45:00 PM,054XX W NORTH AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,2532,25,37.0,25,06,1139768.0,1910101.0,2021,04/21/2021 04:52:37 PM,41.909421431,-87.761992667,"(41.909421431, -87.761992667)"
49992,12340697,JE198962,04/14/2021 12:00:00 AM,039XX N RICHMOND ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1733,17,33.0,16,14,1156017.0,1925980.0,2021,04/21/2021 04:52:37 PM,41.952682073000005,-87.701870947,"(41.952682073, -87.701870947)"
49994,12344021,JE203775,04/08/2021 05:00:00 PM,037XX N OCTAVIA AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,1631,16,38.0,17,08A,1126750.0,1923927.0,2021,04/21/2021 04:49:40 PM,41.947589731,-87.809505766,"(41.947589731, -87.809505766)"
49995,12340653,JE199109,04/14/2021 10:30:00 AM,091XX S HARVARD AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,634,6,21.0,49,08A,1175655.0,1843944.0,2021,04/21/2021 04:52:37 PM,41.727149102,-87.63214318600001,"(41.727149102, -87.632143186)"
49996,12340468,JE199603,04/14/2021 07:13:00 PM,0000X E CHICAGO AVE,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,1833,18,42.0,8,06,1176739.0,1905742.0,2021,04/21/2021 04:52:37 PM,41.896704058000005,-87.62630993399999,"(41.896704058, -87.626309934)"
49998,12340545,JE199753,04/14/2021 11:30:00 PM,053XX W JACKSON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1522,15,29.0,25,08B,1140911.0,1898155.0,2021,04/21/2021 04:52:37 PM,41.876619193,-87.758087946,"(41.876619193, -87.758087946)"
50000,12340495,JE199661,04/14/2021 09:00:00 PM,044XX N PULASKI RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,STREET,False,False,1723,17,35.0,14,11,1148931.0,1929085.0,2021,04/21/2021 04:52:37 PM,41.961342740999996,-87.72783893399999,"(41.961342741, -87.727838934)"
50001,12340055,JE199148,04/14/2021 11:00:00 AM,041XX W MONROE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1115,11,28.0,26,08B,1148886.0,1899341.0,2021,04/21/2021 04:52:37 PM,41.879723306,-87.72877531,"(41.879723306, -87.72877531)"
50002,12340328,JE199577,04/14/2021 03:15:00 PM,117XX S ARTESIAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),False,False,2212,22,19.0,75,14,1162172.0,1826652.0,2021,04/21/2021 04:52:37 PM,41.679987647,-87.682012475,"(41.679987647, -87.682012475)"
50003,12339903,JE198959,04/14/2021 08:00:00 AM,052XX N BROADWAY,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2023,20,48.0,77,06,1167370.0,1934861.0,2021,04/21/2021 04:52:37 PM,41.976814727,-87.659880317,"(41.976814727, -87.659880317)"
50004,12344306,JE203953,04/13/2021 02:10:00 PM,025XX S DEARBORN ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,133,1,3.0,33,11,1176392.0,1887351.0,2021,04/21/2021 04:49:40 PM,41.846245861999996,-87.628139319,"(41.846245862, -87.628139319)"
50006,12343896,JE203718,04/13/2021 01:26:00 PM,015XX W 83RD ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,614,6,21.0,71,06,1167487.0,1849688.0,2021,04/21/2021 04:49:40 PM,41.743090167,-87.66189953899999,"(41.743090167, -87.661899539)"
50009,12340430,JE199430,04/14/2021 04:23:00 PM,083XX S DANTE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,412,4,8.0,45,04B,1187319.0,1850026.0,2021,04/21/2021 04:52:37 PM,41.743570066,-87.58922421700001,"(41.743570066, -87.589224217)"
50010,12340167,JE199353,04/14/2021 03:15:00 PM,070XX N WESTERN AVE,0560,ASSAULT,SIMPLE,ALLEY,False,False,2411,24,50.0,2,08A,1159047.0,1946472.0,2021,04/21/2021 04:52:37 PM,42.00885123,-87.69016688,"(42.00885123, -87.69016688)"
50011,12340999,JE200218,04/14/2021 05:20:00 PM,047XX S INGLESIDE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,False,False,222,2,4.0,39,11,1183417.0,1873664.0,2021,04/21/2021 04:52:37 PM,41.808526624,-87.602785488,"(41.808526624, -87.602785488)"
50012,12340208,JE199327,04/14/2021 12:00:00 PM,107XX S PROSPECT AVE,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,RESIDENCE - PORCH / HALLWAY,False,False,2212,22,19.0,75,11,1167505.0,1833579.0,2021,04/21/2021 04:52:37 PM,41.698884214,-87.662293659,"(41.698884214, -87.662293659)"
50013,12341464,JE200003,04/14/2021 09:47:00 AM,040XX S WESTERN AVE,0460,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,921,9,12.0,58,08B,1161037.0,1877895.0,2021,04/21/2021 04:52:37 PM,41.82062971,-87.684753179,"(41.82062971, -87.684753179)"
50014,12344714,JE204636,04/06/2021 03:05:00 PM,014XX W 21ST ST,0810,THEFT,OVER $500,APARTMENT,True,False,1235,12,25.0,31,06,1167081.0,1890187.0,2021,04/30/2021 04:48:04 PM,41.854232827,-87.662228624,"(41.854232827, -87.662228624)"
